ID,Text,BG Color,Sticky type,Border line,Position X,Position Y,Area,Link to,Last Updated By,Last Updated,Last Content Edited By,Last Content Edited,Tags
0-1562612626512,Type of fuel may have inluence on the consumption of fuel,#CA1041,3x3,YES,1939.85,1379.47,Getting started,,Evangeline Jincy,2022-09-22T19:12:16+05:30,Evangeline Jincy,2022-09-22T18:47:57+05:30,
0-1562612627707,Analayzing each factors and parameters is difficult,#CA1041,3x3,YES,2354.31,1621.27,Getting started,,Evangeline Jincy,2022-09-22T19:12:06+05:30,Evangeline Jincy,2022-09-22T18:49:10+05:30,
0-1562612630257,"For fleet managers,
It's necessary to predict the fuel consumption",#FCFE7D,3x3,YES,366.08,1078.92,Getting started,,Likitha K,2022-09-22T21:07:25+05:30,Likitha K,2022-09-22T18:42:24+05:30,
1-1562612630257,ML algorithms that provide lower prediction errors should be used,#FCFE7D,3x3,YES,681.21,1231.92,Getting started,,Likitha K,2022-09-22T21:07:22+05:30,Likitha K,2022-09-22T18:58:52+05:30,
2-1562612630257,should be more accurate,#FCFE7D,3x3,YES,996.86,1363.11,Getting started,,KEERTHANA KARTHIKEYAN,2022-09-22T21:07:23+05:30,Likitha K,2022-09-22T18:59:45+05:30,
2-1562612634085,"Decrease Weight Load !!!!

It is recommended to limit your cargo to carry only what is required and needed.",#9BEDFD,3x3,YES,788.73,947.71,Getting started,,KEERTHANA KARTHIKEYAN,2022-09-22T20:12:10+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:12:10+05:30,
1-1562612634085,"When your fleet undergoes regular maintenance, it not only increases the lifespan of the vehicle but only influences the fuel efficiency of that vehicle.",#9BEDFD,3x3,YES,1022.01,947.71,Getting started,,KEERTHANA KARTHIKEYAN,2022-09-22T20:10:48+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:10:48+05:30,
2-1562612636720,the drivers have a positive attitude to skills development and that this has not been influenced by their knowledge of the experiences  of  other  drivers. ,#E1BBFC,3x3,YES,848.89,1836.75,Getting started,,Lavanyaa Ramesh,2022-09-22T21:07:24+05:30,Lavanyaa Ramesh,2022-09-22T21:07:24+05:30,
1-1562612636720,"cylinder deactivation systems,turbocharging, variable valve timing, idle stop-start technology, direct full injection , vehicle weight, modern diesel vehicles and horsepower are checked regularly",#E1BBFC,3x3,YES,1067.74,1783.18,Getting started,,Lavanyaa Ramesh,2022-09-22T21:08:44+05:30,Lavanyaa Ramesh,2022-09-22T21:07:22+05:30,
0-1562612636720,A driver who has received eco drive training will have improved fuel consumption through minimising the use of braking and accelerating by looking further ahead in traffic and better predicting flow. Experienced drivers can save as much as 30% on fuel consumption vs a conventional driver.,#E1BBFC,3x3,YES,2141.05,1833.97,Getting started,,Lavanyaa Ramesh,2022-09-22T21:08:36+05:30,Lavanyaa Ramesh,2022-09-22T21:07:33+05:30,
2-1562612639911,Most companies ignore or conduct poor route optimization. It leads to drivers taking longer routes that end up consuming a lot of fuel.,#FFC2E8,3x3,YES,693.43,2116.87,Getting started,,Evangeline Jincy,2022-09-22T21:07:26+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:22:38+05:30,
1-1562612639911,unnoticed fuel leakage and complex and time consuming fuel reporting ,#FFC2E8,3x3,YES,949.95,2333.99,Getting started,,Likitha K,2022-09-22T21:07:32+05:30,Lavanyaa Ramesh,2022-09-22T20:53:42+05:30,
2-1562612642637,"Through accurate prediction, fuel consumption can be managed effectively ",#C7FE80,3x3,YES,1633.04,2116.87,Getting started,,Evangeline Jincy,2022-09-22T21:07:33+05:30,Likitha K,2022-09-22T19:13:43+05:30,
1-1562612642637,good route optimization techniques and reduced weight loads can improve fuel managemaent,#C7FE80,3x3,YES,1933.66,2337.29,Getting started,,Evangeline Jincy,2022-09-22T21:07:35+05:30,Lavanyaa Ramesh,2022-09-22T20:48:58+05:30,
0-1663829216486,unpredictable factors such as weather change may lead to variation from the predicted value ,#FFC2E8,3x3,YES,339.75,2096.90,Getting started,,Evangeline Jincy,2022-09-22T21:07:28+05:30,Likitha K,2022-09-22T19:29:01+05:30,
0-1663829218588,"If drivers are over speeding or hard braking as these can negatively affect the fuel economy.
THIS
could save a lot of money in the long run !!!",#C7FE80,3x3,YES,2522.69,2102.32,Getting started,,Evangeline Jincy,2022-09-22T21:07:44+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:19:02+05:30,
0-1663843034998,"By educating drivers on the costs and impacts of speeding, both from a safety perspective and a fuel cost point of view, they can better understand and adjust their behaviour. Education can also extend to standardising behaviours.",#E1BBFC,3x3,YES,1836.56,1768.18,Getting started,,Lavanyaa Ramesh,2022-09-22T21:08:29+05:30,Lavanyaa Ramesh,2022-09-22T16:08:09+05:30,
0-1663852966667,"Models that are accurate, fast, and able to predict in real-time will enable the optimization of fuel consumption",#CA1041,3x3,YES,2653.17,1711.80,Getting started,,Evangeline Jincy,2022-09-22T21:08:22+05:30,Evangeline Jincy,2022-09-22T18:53:00+05:30,
0-1663853395202,include all necessary internal and external factors for better prediction,#FCFE7D,3x3,YES,554.66,1530.08,Getting started,,Likitha K,2022-09-22T21:07:28+05:30,Likitha K,2022-09-22T19:01:03+05:30,
0-1663853481114,"Identifying parameters that may cause anomalies, such as malfunctions due to wear and tear of the engine, improper maintenance, engine failure, exhaust after-treatment system, and external factors like climate, traffic, road conditions, etc.",#CA1041,3x3,YES,2226.81,1259.40,Getting started,,Evangeline Jincy,2022-09-22T19:02:34+05:30,Evangeline Jincy,2022-09-22T19:02:30+05:30,
0-1663853905253,The efficiency of fleet vehicles will be useful not only for the consumer but also for the respective regions in relation to the emission problems and profits,#CA1041,3x5,YES,2577.75,1049.66,Getting started,,Evangeline Jincy,2022-09-22T19:11:14+05:30,Evangeline Jincy,2022-09-22T19:11:03+05:30,
0-1663856921026,"When it comes to a typical fleet’s running costs, fuel is the biggest expense and makes up about ⅓rd of the total expenses. ",#9BEDFD,3x3,YES,1858.13,929.31,Getting started,,Evangeline Jincy,2022-09-22T21:07:39+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:08:21+05:30,
0-1663856926728,"Hence, it makes sense to think of saving up on costs by reducing fuel consumption or usage especially when your business involves a fleet of vehicles.",#9BEDFD,3x3,YES,2160.74,908.68,Getting started,,KEERTHANA KARTHIKEYAN,2022-09-22T20:08:31+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:08:31+05:30,
0-1663856957104,"to save fuel, start the engine and then drive the car normally to warm the engine to operating temperature more rapidly",#9BEDFD,3x3,YES,2405.35,900.71,Getting started,,KEERTHANA KARTHIKEYAN,2022-09-22T20:25:07+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:25:07+05:30,
0-1663856996775," GOOD CONDITION !!!!
it is so important to retain pressure at the correct level. WE should also check the air filters, motor oil or any other issues in your fleets. ",#9BEDFD,3x3,YES,613.35,909.30,Getting started,,KEERTHANA KARTHIKEYAN,2022-09-22T20:14:52+05:30,KEERTHANA KARTHIKEYAN,2022-09-22T20:14:52+05:30,
0-1663859957426," In commercial vehicles, the untraceable fuel volume may reach 100 liters or more. Naturally, the risk of fuel theft is relatively high here.",#FFC2E8,3x3,YES,1208.06,2143.92,Getting started,,Evangeline Jincy,2022-09-22T20:49:54+05:30,Evangeline Jincy,2022-09-22T20:49:54+05:30,
0-1663860315984,"The effective and accurate estimation
of fuel consumption can help to analyze emissions as well as
prevent fuel-related fraud",#C7FE80,3x3,YES,2236.51,2281.27,Getting started,,Evangeline Jincy,2022-09-22T21:06:14+05:30,Evangeline Jincy,2022-09-22T20:56:05+05:30,
0-1663860625075,"use fuel tracking technology, choose most efficient routes",#E1BBFC,3x3,YES,1283.22,1609.45,Getting started,,Lavanyaa Ramesh,2022-09-22T21:07:40+05:30,Lavanyaa Ramesh,2022-09-22T21:07:40+05:30,
0-1663860634222,"stick to regular fuel, amd implement fuel your fleet- on - site.",#E1BBFC,3x3,YES,1710.54,1626.35,Getting started,,Lavanyaa Ramesh,2022-09-22T21:07:36+05:30,Lavanyaa Ramesh,2022-09-22T21:07:36+05:30,